"English","Russian"
"Dotheministersofeconomyandfinanceoffer","Акромепенсионеровминистрыэкономикии"
"otheroptionsbesidesretirees?Oristhistheir","финансовпредлагаютдругиевозможности?"
"onlyandlaststrategicreserve?","Илиунихэтоединственныйипоследний"
"","стратегическийрезерв?"
"Anotheroneofmyprincesseshasgrownup!","Ещеоднамояпринцессавыросла"
"Well,donotfeedbread,letmegosomewhere!","Нухлебомнекорми,дайпоехатькуда-нибудь!"
"It'scooltosnoozeontheoceanfrontwrappedin","Крутодрематьнаберегуокеана,завернувшись"
"atowel#","вполотенце"
"dominican#ocean#atlantic#ocean#palms#vac","доминикана#океан#атлантическийокеан#паль"
"ation","мы#отпуск"
"Therearenoaccidents–everythinginthisworld","Случайностейнесуществует—всёнаэтом"
"iseitheratrial,apunishment,areward,ora","светелибоиспытание,либонаказание,либо"
"foreshadowing©Voltaire","награда,либопредвестие©Вольтер"
"Ifaguylovesyou,he'llneverletotherpeople","Еслипареньваслюбитонникогданедаствасв"
"hurtyouHe'llhurtyouonhisown","обидуОнбудетобижатьвассам"
"Instructionbeforethepathofcourage","Инструктажпередтропоймужества))"
"-Honey,atleaststartrunninginthemorning-","-Дорогая,начнихотябыбегатьпоутрам-Если"
"IfIrunout,Iwon'tcomeback!!!","явыбегу,тоуженеВЕРНУСЬ!!!"
"Sometimes,Iwanttogofarawayfrom","Иногда,охота:Уеехатьдолекоотвсех,в"
"everyone,toafarawayplace,nottoseeoreven","дальниекрая,чтобыникогоневидеть,идаже"
"hearanyone","неслышать"
"Thebestpsychologistisafriendwithabottleof","Самыйлучшийпсихолог-этоподругас"
"champagne","бутылкойшампанского"
"Friendsareeverythingtome(с)","Друзьявсёдляменя(с)"
"I'mfinallyanauntie!!!!!!!!))))))","Ясталанаконец-тотётей!!!!!!!!))))))"
"Girls!Whatdoyouthinktheperfectmakeup","Девочки!Каквыдумаете,изчегодолжна"
"bagshouldconsistof?Ofcourse,ofthose","состоятьидеальнаякосметичка?Конечно,из"
"productsthatarejustnecessarytolookperfect","техсредств,которыепростонеобходимыдля"
"Cosmetics[Brandnameremoved]✖️isjust","того,чтобывыглядетьидеальноКосметика"
"createdfortheperfectbeautykit",""
